date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:47:40	19895/19895	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20Jan%202017%2016:58:59%20GMT	http://themehelite.com/themeforest/pure/index-multi-scroll.html	C:/Mis%20lugares%20Web/PURE/themehelite.com/themeforest/pure/index-multi-scroll.html	(from )
12:47:40	232/232	U-----	200	untouched ('OK')	text/plain	date:Mon,%2010%20Aug%202015%2018:26:54%20GMT	http://themehelite.com/robots.txt		(from )
12:47:41	35417/35417	---MCZ	200	added ('OK')	text/css	date:Thu,%2004%20May%202017%2009:41:40%20GMT	http://cdn.themehelite.com/themeforest/pure/css/style-multi-scroll.css	C:/Mis%20lugares%20Web/PURE/cdn.themehelite.com/themeforest/pure/css/style-multi-scroll.css	(from http://themehelite.com/themeforest/pure/index-multi-scroll.html)
12:47:43	26845/26845	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Aug%202016%2013:34:15%20GMT	http://cdn.themehelite.com/themeforest/pure/img/logo-colored.png	C:/Mis%20lugares%20Web/PURE/cdn.themehelite.com/themeforest/pure/img/logo-colored.png	(from http://themehelite.com/themeforest/pure/index-multi-scroll.html)
12:47:44	21121/21121	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Aug%202016%2013:43:09%20GMT	http://cdn.themehelite.com/themeforest/pure/img/logo.png	C:/Mis%20lugares%20Web/PURE/cdn.themehelite.com/themeforest/pure/img/logo.png	(from http://themehelite.com/themeforest/pure/index-multi-scroll.html)
12:48:22	243859/243859	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Aug%202016%2013:34:03%20GMT	http://cdn.themehelite.com/themeforest/pure/img/gallery-3.jpg	C:/Mis%20lugares%20Web/PURE/cdn.themehelite.com/themeforest/pure/img/gallery-3.jpg	(from http://themehelite.com/themeforest/pure/index-multi-scroll.html)
12:48:31	305440/305440	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Aug%202016%2013:33:57%20GMT	http://cdn.themehelite.com/themeforest/pure/img/gallery-2.jpg	C:/Mis%20lugares%20Web/PURE/cdn.themehelite.com/themeforest/pure/img/gallery-2.jpg	(from http://themehelite.com/themeforest/pure/index-multi-scroll.html)
12:48:34	312858/312858	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Aug%202016%2013:34:05%20GMT	http://cdn.themehelite.com/themeforest/pure/img/gallery-4.jpg	C:/Mis%20lugares%20Web/PURE/cdn.themehelite.com/themeforest/pure/img/gallery-4.jpg	(from http://themehelite.com/themeforest/pure/index-multi-scroll.html)
12:48:44	54854/54854	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Aug%202016%2013:34:17%20GMT	http://cdn.themehelite.com/themeforest/pure/img/member-1.jpg	C:/Mis%20lugares%20Web/PURE/cdn.themehelite.com/themeforest/pure/img/member-1.jpg	(from http://themehelite.com/themeforest/pure/index-multi-scroll.html)
12:48:52	97180/97180	---MCZ	200	added ('OK')	application/javascript	etag:W/%2257040f95-17b9c%22	https://code.jquery.com/jquery-1.12.3.min.js	C:/Mis%20lugares%20Web/PURE/code.jquery.com/jquery-1.12.3.min.js	(from http://themehelite.com/themeforest/pure/index-multi-scroll.html)
12:48:54	5555/5555	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2014%20Nov%202017%2000:30:21%20GMT	https://cdnjs.cloudflare.com/ajax/libs/jquery-easing/1.3/jquery.easing.min.js	C:/Mis%20lugares%20Web/PURE/cdnjs.cloudflare.com/ajax/libs/jquery-easing/1.3/jquery.easing.min.js	(from http://themehelite.com/themeforest/pure/index-multi-scroll.html)
12:48:57	487898/487898	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Aug%202016%2013:33:59%20GMT	http://cdn.themehelite.com/themeforest/pure/img/gallery-1.jpg	C:/Mis%20lugares%20Web/PURE/cdn.themehelite.com/themeforest/pure/img/gallery-1.jpg	(from http://themehelite.com/themeforest/pure/index-multi-scroll.html)
